seed,scenario,round_idx,client_id,n_samples,loss_before,loss_after,train_time_sec,is_malicious,raw_trust,smoothed_trust,agg_weight,accepted
2025,bulyan,12,3,31719,0.742472016227708,0.4603154840862553,1.7350492477416992,True,1.0,1.0,0.1,True
2025,bulyan,12,4,19352,0.6636164367026463,0.5470653231501728,1.0536277294158936,False,1.0,1.0,0.1,True
2025,bulyan,12,5,23933,1.2516921732949986,0.42298927033126354,1.3141098022460938,False,1.0,1.0,0.1,True
2025,bulyan,12,6,9319,0.35759159090795517,0.14292451339239265,0.5014853477478027,False,1.0,1.0,0.1,True
2025,bulyan,12,7,12058,0.6928690932425402,0.11196053002278669,0.6441650390625,False,1.0,1.0,0.1,True
2025,bulyan,12,8,21599,0.6636429396904896,0.3378388774969538,1.1734247207641602,True,1.0,1.0,0.1,True
2025,bulyan,12,9,24134,0.9216129395228151,0.49673240708071914,1.3130574226379395,True,1.0,1.0,0.1,True
2025,bulyan,13,0,13864,0.15141694965910443,0.046509402117273294,0.7580206394195557,False,1.0,1.0,0.1,True
2025,bulyan,13,1,15097,0.34304918917021215,0.18376585435411696,0.8074860572814941,False,1.0,1.0,0.1,True
2025,bulyan,13,2,19138,0.4052787273577207,0.22363430846197152,1.0380291938781738,False,1.0,1.0,0.1,True
2025,bulyan,13,3,31719,0.7174969896316649,0.4552062114053485,1.7536766529083252,True,1.0,1.0,0.1,True
2025,bulyan,13,4,19352,0.6585640703759542,0.5446011599995667,1.0798108577728271,False,1.0,1.0,0.1,True
2025,bulyan,13,5,23933,1.2154659175775175,0.4221095474475715,1.3564388751983643,False,1.0,1.0,0.1,True
2025,bulyan,13,6,9319,0.3691633008256569,0.14250248082142836,0.5149743556976318,False,1.0,1.0,0.1,True
2025,bulyan,13,7,12058,0.6614108481876173,0.11121948504118229,0.6755897998809814,False,1.0,1.0,0.1,True
2025,bulyan,13,8,21599,0.6410091229680346,0.3358632756706807,1.1944389343261719,True,1.0,1.0,0.1,True
2025,bulyan,13,9,24134,0.8878429731902244,0.49710816609006914,1.3294587135314941,True,1.0,1.0,0.1,True
2025,bulyan,14,0,13864,0.15734675137107934,0.05353105821514011,0.7505884170532227,False,1.0,1.0,0.1,True
2025,bulyan,14,1,15097,0.3328856580019108,0.1820714309275636,0.5900285243988037,False,1.0,1.0,0.1,True
2025,bulyan,14,2,19138,0.408026090992171,0.2237779969318943,0.6675124168395996,False,1.0,1.0,0.1,True
2025,bulyan,14,3,31719,0.7162966111925595,0.4586262491209073,1.4323198795318604,True,1.0,1.0,0.1,True
2025,bulyan,14,4,19352,0.6518233126724687,0.5445497313428881,0.6706092357635498,False,1.0,1.0,0.1,True
2025,bulyan,14,5,23933,1.204867758394478,0.4229835863660412,0.9702107906341553,False,1.0,1.0,0.1,True
2025,bulyan,14,6,9319,0.3720765489469668,0.1426159457301285,0.3397190570831299,False,1.0,1.0,0.1,True
2025,bulyan,14,7,12058,0.6602160595289449,0.1108291423061625,0.530470609664917,False,1.0,1.0,0.1,True
2025,bulyan,14,8,21599,0.6423473379154868,0.33751262906326335,0.8078134059906006,True,1.0,1.0,0.1,True
2025,bulyan,14,9,24134,0.8846667971944536,0.4978317424298084,0.8513369560241699,True,1.0,1.0,0.1,True
2025,bulyan,15,0,13864,0.16123170682067342,0.043721388827550424,0.604501485824585,False,1.0,1.0,0.1,True
2025,bulyan,15,1,15097,0.3271638961227444,0.18053141841945597,0.5272085666656494,False,1.0,1.0,0.1,True
2025,bulyan,15,2,19138,0.40750966203263816,0.2225746394826372,0.7643373012542725,False,1.0,1.0,0.1,True
2025,bulyan,15,3,31719,0.7359615725671033,0.4564842611608599,1.2551188468933105,True,1.0,1.0,0.1,True
2025,bulyan,15,4,19352,0.651712141558374,0.5421632482227879,0.7218196392059326,False,1.0,1.0,0.1,True
2025,bulyan,15,5,23933,1.2139415094288901,0.4190858991711028,0.9810402393341064,False,1.0,1.0,0.1,True
2025,bulyan,15,6,9319,0.360917417858404,0.141917607024966,0.34660983085632324,False,1.0,1.0,0.1,True
2025,bulyan,15,7,12058,0.6863075256011522,0.10948634276351618,0.5481367111206055,False,1.0,1.0,0.1,True
2025,bulyan,15,8,21599,0.6591716696224895,0.3349087520163723,0.7923908233642578,True,1.0,1.0,0.1,True
2025,bulyan,15,9,24134,0.9085620396661019,0.49679457028463186,0.8369095325469971,True,1.0,1.0,0.1,True
2025,bulyan,16,0,13864,0.1669515608103201,0.05557651536843368,0.5555658340454102,False,1.0,1.0,0.1,True
2025,bulyan,16,1,15097,0.33261117973003573,0.17986971570745544,0.7487387657165527,False,1.0,1.0,0.1,True
2025,bulyan,16,2,19138,0.4050394285340608,0.2235757071002796,0.7851517200469971,False,1.0,1.0,0.1,True
2025,bulyan,16,3,31719,0.7130480472597078,0.4545913554105329,1.5538268089294434,True,1.0,1.0,0.1,True
2025,bulyan,16,4,19352,0.6474718936911887,0.5444419809046143,1.063525676727295,False,1.0,1.0,0.1,True
2025,bulyan,16,5,23933,1.1821372779269517,0.41730406903291134,1.3005578517913818,False,1.0,1.0,0.1,True
2025,bulyan,16,6,9319,0.3699183213229803,0.1429293234621216,0.4939460754394531,False,1.0,1.0,0.1,True
2025,bulyan,16,7,12058,0.6559203289539428,0.10955276907597594,0.6564874649047852,False,1.0,1.0,0.1,True
2025,bulyan,16,8,21599,0.6389669704433945,0.3336807115717427,1.1378624439239502,True,1.0,1.0,0.1,True
2025,bulyan,16,9,24134,0.876845326826311,0.49523552329526227,0.8332417011260986,True,1.0,1.0,0.1,True
2025,bulyan,17,0,13864,0.17496220150127345,0.04804962389982605,0.6030845642089844,False,1.0,1.0,0.1,True
2025,bulyan,17,1,15097,0.3397330283751478,0.18020987238952355,0.5302271842956543,False,1.0,1.0,0.1,True
2025,bulyan,17,2,19138,0.3909722722514768,0.22288798601484833,0.6680219173431396,False,1.0,1.0,0.1,True
2025,bulyan,17,3,31719,0.6973323135738426,0.4563168452660897,1.0818328857421875,True,1.0,1.0,0.1,True
2025,bulyan,17,4,19352,0.6429075520853702,0.5417505543603538,0.6765096187591553,False,1.0,1.0,0.1,True
2025,bulyan,17,5,23933,1.2043739828927735,0.41564035363349344,0.8290839195251465,False,1.0,1.0,0.1,True
2025,bulyan,17,6,9319,0.37780964851686405,0.14057952940483207,0.34467387199401855,False,1.0,1.0,0.1,True
2025,bulyan,17,7,12058,0.6399560921977934,0.11072701204869062,0.45723843574523926,False,1.0,1.0,0.1,True
2025,bulyan,17,8,21599,0.6202980820749296,0.3342994913369827,0.8059678077697754,True,1.0,1.0,0.1,True
2025,bulyan,17,9,24134,0.8661544712642711,0.4942099399018171,0.8922441005706787,True,1.0,1.0,0.1,True
2025,bulyan,18,0,13864,0.1847962430246772,0.0534026134367957,0.5340092182159424,False,1.0,1.0,0.1,True
2025,bulyan,18,1,15097,0.32989266677835155,0.1809548412209008,0.5141148567199707,False,1.0,1.0,0.1,True
2025,bulyan,18,2,19138,0.4094022681738269,0.22127354389847054,0.648292064666748,False,1.0,1.0,0.1,True
2025,bulyan,18,3,31719,0.6744054258123405,0.45685190454065744,1.395141839981079,True,1.0,1.0,0.1,True
2025,bulyan,18,4,19352,0.6365310329452631,0.539353899124882,0.7539217472076416,False,1.0,1.0,0.1,True
2025,bulyan,18,5,23933,1.1905440003724581,0.41786133889114346,1.0015439987182617,False,1.0,1.0,0.1,True
2025,bulyan,18,6,9319,0.38393407088516224,0.14055193523018,0.3714179992675781,False,1.0,1.0,0.1,True
2025,bulyan,18,7,12058,0.6058005611434626,0.10704614583580208,0.49027419090270996,False,1.0,1.0,0.1,True
2025,bulyan,18,8,21599,0.6074523442492142,0.3329877211924057,0.7863268852233887,True,1.0,1.0,0.1,True
2025,bulyan,18,9,24134,0.8376965629508168,0.4914483944053054,0.9326026439666748,True,1.0,1.0,0.1,True
2025,bulyan,19,0,13864,0.18935332231898563,0.04260188288475073,0.4972054958343506,False,1.0,1.0,0.1,True
2025,bulyan,19,1,15097,0.34488935881421573,0.18279217215668345,0.5326287746429443,False,1.0,1.0,0.1,True
2025,bulyan,19,2,19138,0.3970686455937261,0.22241665384608483,0.7210965156555176,False,1.0,1.0,0.1,True
2025,bulyan,19,3,31719,0.6744476239202212,0.45253963599218094,1.0833218097686768,True,1.0,1.0,0.1,True
2025,bulyan,19,4,19352,0.638937195035336,0.5380474378275152,0.6719486713409424,False,1.0,1.0,0.1,True
2025,bulyan,19,5,23933,1.149861145855336,0.4133020115347964,0.8862216472625732,False,1.0,1.0,0.1,True
2025,bulyan,19,6,9319,0.38898710198624475,0.1403827495007111,0.43716859817504883,False,1.0,1.0,0.1,True
2025,bulyan,19,7,12058,0.6053786846580622,0.10666087411044488,0.43839311599731445,False,1.0,1.0,0.1,True
2025,bulyan,19,8,21599,0.6031837035088667,0.33378982089852793,0.8378620147705078,True,1.0,1.0,0.1,True
2025,bulyan,19,9,24134,0.8289763586290179,0.49261936325071426,0.8829126358032227,True,1.0,1.0,0.1,True
2025,bulyan,20,0,13864,0.19487437972152982,0.05452190513254519,0.5015788078308105,False,1.0,1.0,0.1,True
2025,bulyan,20,1,15097,0.3327044163814971,0.1794908397828,0.5365269184112549,False,1.0,1.0,0.1,True
2025,bulyan,20,2,19138,0.39627224728286,0.22136336353234032,0.6664111614227295,False,1.0,1.0,0.1,True
2025,bulyan,20,3,31719,0.6938657373234086,0.452546879097163,1.1645727157592773,True,1.0,1.0,0.1,True
