seed,scenario,aggregation_method,use_he,use_fuzzy,use_zt,round_idx,train_loss_avg,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,n_accepted,n_rejected,n_malicious_total,n_malicious_rejected,time_local_train_sec,time_encrypt_sec,time_aggregate_sec,time_decrypt_sec,time_fuzzy_sec,time_total_sec,he_ciphertext_bytes
2024,foolsgold,foolsgold,False,False,False,20,0.3403778069673338,0.7817853019796714,0.6828263002944063,0.5218025007647815,0.634668703445783,10,0,3,0,9.962270021438599,0.0,0.0007257461547851562,0.0,0.0,10.248046159744263,0
2024,foolsgold,foolsgold,False,False,False,21,0.33932568484838355,0.7968189018631355,0.6842737978410206,0.5234836213173095,0.6359420280618102,10,0,3,0,10.029334783554077,0.0,0.0008897781372070312,0.0,0.0,10.355823278427124,0
2024,foolsgold,foolsgold,False,False,False,22,0.3398745338462822,0.7889579660642135,0.685549558390579,0.5209652043941487,0.6378545442997987,10,0,3,0,10.069051027297974,0.0,0.000728607177734375,0.0,0.0,10.38607120513916,0
2024,foolsgold,foolsgold,False,False,False,23,0.33789278244034543,0.7803602987931451,0.6858439646712463,0.5213696129263137,0.6385769349674545,10,0,3,0,10.040786504745483,0.0,0.0007150173187255859,0.0,0.0,10.365081787109375,0
2024,foolsgold,foolsgold,False,False,False,24,0.3376343578251723,0.7894463161958913,0.6850588812561335,0.5239611338076074,0.637128763482776,10,0,3,0,10.195785760879517,0.0,0.0007104873657226562,0.0,0.0,10.466264724731445,0
2024,foolsgold,foolsgold,False,False,False,25,0.33718908865475933,0.7704720104992449,0.6886162904808636,0.5287050376035297,0.6414287171457205,10,0,3,0,10.236191272735596,0.0,0.0008919239044189453,0.0,0.0,10.5619637966156,0
2024,foolsgold,foolsgold,False,False,False,26,0.3372205752628638,0.7697459631742977,0.688837095191364,0.529655735970579,0.6418963794697288,10,0,3,0,10.04935908317566,0.0,0.0007221698760986328,0.0,0.0,10.335723876953125,0
2024,foolsgold,foolsgold,False,False,False,27,0.33709562677751925,0.781026893743004,0.6877330716388617,0.5273659644519061,0.6407414362564838,10,0,3,0,10.033179998397827,0.0,0.0007138252258300781,0.0,0.0,10.298165798187256,0
2024,foolsgold,foolsgold,False,False,False,28,0.33561981527193896,0.7797840391688773,0.6876594700686948,0.5264157355625066,0.6408848926057779,10,0,3,0,11.849823713302612,0.0,0.0007164478302001953,0.0,0.0,12.310694217681885,0
2024,foolsgold,foolsgold,False,False,False,29,0.3354261192812935,0.7646200073361982,0.686702649656526,0.5239354867562006,0.6407791558836778,10,0,3,0,12.107349157333374,0.0,0.0007185935974121094,0.0,0.0,12.39775538444519,0
2024,fedavg_he,fedavg,True,False,False,0,0.4824955330465485,1.6081588161120355,0.5375368007850834,0.3667525478286447,0.49692014144998226,10,0,3,0,12.456198692321777,6.884056806564331,3.3567066192626953,0.19584226608276367,0.0,23.18894672393799,12062720
2024,fedavg_he,fedavg,True,False,False,1,0.40377349871095775,1.112881101359329,0.6166339548577037,0.39188006197064046,0.5345641733595137,10,0,3,0,12.755417346954346,5.557929515838623,3.387550115585327,0.19512224197387695,0.0,22.196776151657104,12062720
2024,fedavg_he,fedavg,True,False,False,2,0.38299976489690385,0.9153745477169138,0.624730127576055,0.43016944947477226,0.5400008229167519,10,0,3,0,12.692410230636597,5.627504348754883,3.360696792602539,0.20389938354492188,0.0,22.183587789535522,12062720
2024,fedavg_he,fedavg,True,False,False,3,0.3727443067963784,0.8703646134815459,0.6266683022571148,0.4323099782955791,0.5413888929878924,10,0,3,0,10.560187339782715,5.565090656280518,3.3586654663085938,0.19304466247558594,0.0,19.97532629966736,12062720
2024,fedavg_he,fedavg,True,False,False,4,0.3675170740880241,0.8528461864347898,0.6314033366045142,0.43900660901633126,0.548203108439999,10,0,3,0,9.983939170837402,5.593409538269043,3.3564295768737793,0.20438361167907715,0.0,19.437078952789307,12062720
2024,fedavg_he,fedavg,True,False,False,5,0.3629051827936223,0.847528772475792,0.6377330716388616,0.44709685404573574,0.5565145918875392,10,0,3,0,10.011520862579346,5.638947486877441,3.3589882850646973,0.19246339797973633,0.0,19.500779628753662,12062720
2024,fedavg_he,fedavg,True,False,False,6,0.35952272696128124,0.8520461721672979,0.6405544651619235,0.45238532403009313,0.5610162977110973,10,0,3,0,9.866071701049805,5.662086009979248,3.361853837966919,0.2030777931213379,0.0,19.39241671562195,12062720
2024,fedavg_he,fedavg,True,False,False,7,0.3559967524468075,0.8310166932649772,0.6477674190382728,0.46160075518550103,0.5735915197286623,10,0,3,0,11.357882022857666,5.602848291397095,3.3598005771636963,0.2008659839630127,0.0,20.82028341293335,12062720
2024,fedavg_he,fedavg,True,False,False,8,0.3544858270421761,0.8234000448389774,0.654342492639843,0.473011303731519,0.5850828160753362,10,0,3,0,10.098735332489014,5.596512317657471,3.1486504077911377,0.40577125549316406,0.0,19.5503568649292,12062720
2024,fedavg_he,fedavg,True,False,False,9,0.35261861599802197,0.8071832374220859,0.6585868498527968,0.48486481254268143,0.5948554357362038,10,0,3,0,10.432602882385254,5.645430564880371,3.1492671966552734,0.2048952579498291,0.0,19.946107864379883,12062720
2024,fedavg_he,fedavg,True,False,False,10,0.35027836698505244,0.803924377860686,0.6621933267909715,0.4917034695363798,0.601529880679119,10,0,3,0,9.985929250717163,5.597085475921631,3.173884153366089,0.20503759384155273,0.0,19.477088928222656,12062720
2024,fedavg_he,fedavg,True,False,False,11,0.3482312481707285,0.7970888266970528,0.6678606476938175,0.49853780448211393,0.6111451196267431,10,0,3,0,9.986506938934326,5.568388223648071,3.1456551551818848,0.19420886039733887,0.0,19.404377222061157,12062720
2024,fedavg_he,fedavg,True,False,False,12,0.3480860932103821,0.8026259866851118,0.6720559371933268,0.5055041648676442,0.618165395529953,10,0,3,0,9.840151309967041,5.6120851039886475,3.188220977783203,0.21332645416259766,0.0,19.529884576797485,12062720
2024,fedavg_he,fedavg,True,False,False,13,0.34711922448629734,0.8110075496714764,0.6751717369970559,0.5107673434659944,0.6235814322127006,10,0,3,0,10.569979667663574,5.736506938934326,3.2211287021636963,0.19304609298706055,0.0,20.246228456497192,12062720
2024,fedavg_he,fedavg,True,False,False,14,0.3461815625595915,0.8101559295504555,0.6747791952894995,0.5075231293002662,0.6229065024699411,10,0,3,0,12.990282535552979,5.172950983047485,3.174030303955078,0.18775677680969238,0.0,22.039238929748535,12062720
2024,fedavg_he,fedavg,True,False,False,15,0.3451674185231695,0.7975278650345582,0.6793915603532875,0.5151156832723232,0.6281739753564837,10,0,3,0,13.046653985977173,5.164911985397339,3.1372759342193604,0.1850583553314209,0.0,22.044992923736572,12062720
2024,fedavg_he,fedavg,True,False,False,16,0.3435229132227008,0.7922056218709749,0.6814278704612365,0.5159967492509154,0.6314224714162313,10,0,3,0,12.778009176254272,5.161272764205933,3.1392781734466553,0.19064617156982422,0.0,21.57725167274475,12062720
2024,fedavg_he,fedavg,True,False,False,17,0.342921920220664,0.7804628860728196,0.6805937193326791,0.5147538642467846,0.6312429710383588,10,0,3,0,12.770659685134888,5.358355522155762,3.1374239921569824,0.18466591835021973,0.0,21.75232744216919,12062720
2024,fedavg_he,fedavg,True,False,False,18,0.3428314772725013,0.79068846847639,0.6819921491658488,0.5196844420354862,0.633220275918206,10,0,3,0,10.158485412597656,5.409060955047607,3.1532838344573975,0.18326640129089355,0.0,19.200186491012573,12062720
2024,fedavg_he,fedavg,True,False,False,19,0.34229201311737273,0.7756254845676291,0.6841265947006869,0.5237061868213326,0.6367781668769555,10,0,3,0,10.185227394104004,5.377901554107666,3.141972064971924,0.1890716552734375,0.0,19.194356203079224,12062720
